school_id,institution_name,province,type,onboarding_status
ZAF-P-200200001,"A M S SITYANA SENIOR SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200200002,"A M TAPA SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100001,"A V BUKANI PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200200003,"A W BARNES PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200600004,"ABAMBO AGRICULTURAL SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100005,"ABERDEEN SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100006,"ABRAHAM LEVY PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-I-200200263,"ACADEMY HIGH SCHOOL",Eastern Cape,"Independent School",unclaimed
ZAF-P-200500039,"AD TSHAYINGCA SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100009,"ADDO PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200100012,"ADELAIDE GYMNASIUM",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100014,"ADELAIDE JUNIOR SECONDARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200100016,"ADOLPH SCHAUDER PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-I-200200092,"ADVANCE LIFE CHRISTIAN ACADEMY",Eastern Cape,"Independent School",unclaimed
ZAF-I-200501564,"ADVENT COMPREHENSIVE SCHOOL",Eastern Cape,"Independent School",unclaimed
ZAF-P-200100018,"AEROVILLE SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-I-200100019,"AL-AZHAR PRIMARY SCHOOL",Eastern Cape,"Independent School",unclaimed
ZAF-P-200201118,"ALBANY STREET SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100021,"ALEXANDER ROAD HIGH SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100024,"ALEXANDRIA HIGH SCHOOL",Eastern Cape,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-200101042,"ALFONSO ARRIES PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200600011,"ALHEIT VAN DER MERWE PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200200006,"ALICE FULL SERVICE SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200600012,"ALIWAL NORTH HIGH SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100025,"ALPHA PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200200009,"ALPHENDALE SENIOR SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-I-200201004,"ALTHORPE COLLEGE",Eastern Cape,"Independent School",unclaimed
ZAF-P-200100027,"ALTONA PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200600003,"AM ZANTSI SENIOR SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200300003,"AMABELE SENIOR SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200200010,"AMABHELE HIGH SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-I-200101022,"AMADEUS INDEPENDENT SCHOOL",Eastern Cape,"Independent School",unclaimed
ZAF-P-200200825,"AMATOLAVILLE JUNIOR SECONDARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200200017,"AMAZIZI SENIOR SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-I-200200468,"AMITEC BUSINESS COLLEGE COMBINED SCHOOL",Eastern Cape,"Independent School",unclaimed
ZAF-I-200201097,"AMITEK BUSINESS HIGH SCHOOL",Eastern Cape,"Independent School",unclaimed
ZAF-P-200600019,"ANAKO JUNIOR PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200101043,"ANDREW MOYAKHE CENTRE OF ACADEMIC EXCELLENCE",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100033,"ANDREW RABIE HIGH SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100036,"ARCADIA PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-200100037,"ARCADIA SENIOR SECONDARY SCHOOL",Eastern Cape,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-200100038,"ARCHIE MBOLEKWA JUNIOR PRIMARY SCHOOL",Eastern Cape,"Public School (PRIMARY SCHOOL)",unclaimed
