school_id,institution_name,province,type,onboarding_status
800035507,"A PETIT PAS INDEPENDENT SCHOOL",Mpumalanga,"Independent School (PRIMARY)",unclaimed
800035522,"ACORN - OAKS COMPREHENSIVE HIGH SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800034962,"ACORNHOEK ACADEMY SCHOOL",Mpumalanga,"Independent School (SECONDARY)",unclaimed
800034990,"ALEXANDRIA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034879,"ALFRED MATSHINE COMMERCIAL SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800034906,"ANDOVER PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034851,"APLOS CHILOANE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035179,"BABATI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034907,"BABINATAU SENIOR SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800035482,"BADLANGAYE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035049,"BAKUTSWE HIGH SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800035050,"BANTOMU PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035077,"BARNEY PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034880,"BEN MATLOSHE HIGH SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800034881,"BEN W MASHEGO SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800034934,"BENG BA LONA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034963,"BERETTA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035090,"BHEJANI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035120,"BOIKHUTSO PRIMARY-2 SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035148,"BOMBANI SENIOR SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800035180,"BONDZENI HIGH SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800035705,"BUCKRIDGE PRIVATE SCHOOL",Mpumalanga,"Independent School (COMBINED)",unclaimed
800035181,"BUNNY KHOSA HIGH SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800035079,"BUSHBUCKRIDGE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800034935,"BUYISONTO PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035695,"CANSAS PRIVATE SCHOOL",Mpumalanga,"Independent School (COMBINED)",unclaimed
800034882,"CASTEEL PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035149,"CHARLEY MBHUNGELE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035091,"CHAYAZA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800034964,"CHAYIWE LOWER PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034853,"CHUEU PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034854,"CRAIGIEBURN PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034991,"CUNNINGMOORE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034936,"D.G. MASHEGO PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035236,"DANIYE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035021,"DAYIMANI HIGH SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800028530,"DIENTJIE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035080,"DILAYI LOWER AND HIGHER PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035081,"DIPHASWA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035121,"DITAU SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800035082,"DIWITI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
